wavelength_nm,S11a,S12a,S13a,S21a,S22a,S23a,S31a,S32a,S33a,S11m,S12m,S13m,S21m,S22m,S23m,S31m,S32m,S33m
1250.62656641604,231.89601614480623,228.78576566843788,188.2611741615599,228.78577422461893,231.89443391496857,188.2613457043758,188.26114319820064,188.26132086711854,213.11836400931946,0.17314037691109618,0.1286592717323092,0.5994603719163801,0.1286580368034528,0.17314011367061546,0.5993292063445297,0.5990491221317994,0.5989187621051603,0.039801296893407286
1249.061326658323,232.69427079345158,229.5759542593134,188.9160331644443,229.57595973824385,232.69263560271716,188.91620629586637,188.91589650023954,188.91607363760167,213.94166346801435,0.17193775459912003,0.12891993922796963,0.598806777182521,0.1289190558366444,0.17203398694465494,0.5986531657923964,0.5983667309111596,0.5982152518545619,0.041497259292072104
1247.5,233.49255018283208,230.3692110380393,189.5713555431122,230.3692122611303,233.49126054238445,189.57150609058274,189.57108972115935,189.5712442108512,214.76801998217897,0.171475494582179,0.1291695079749916,0.5975227232905957,0.12916913851379758,0.17168434390882711,0.5973481262438846,0.5971278730058929,0.5969569120031316,0.04450228557355224
1245.9425717852685,234.28688855485677,231.1648321204688,190.22658937273852,231.16483041962823,234.2862275518776,190.22669799095928,190.22629439711423,190.22640814935755,215.57616836532756,0.1718151117021941,0.12924919962533982,0.5955724561440321,0.12924935677333965,0.1721305774761309,0.5953863712030137,0.5952750644443643,0.5950935608082152,0.04810857828828527
1244.3890274314215,235.07507254266014,231.9615442732233,190.88125980371058,231.96154253470908,235.07515206960792,190.88131877731018,190.88107692255207,190.88114259408042,216.36320299439257,0.17252888440614267,0.12903699749811048,0.5931026409403689,0.12903745651812462,0.17291301484814967,0.5929195032441903,0.5928743523637817,0.5926963019513469,0.05117877860023055
1242.8393524283936,235.8583707005998,232.75787960067913,191.53511969123815,232.75787973472652,235.85914552392651,191.53513587945565,191.53509214281618,191.53511719055788,217.140165848236,0.17300147348990028,0.12847218544921818,0.5903485171430579,0.12847261705943563,0.17338666364248004,0.5901828396523222,0.5900901495975884,0.5899298639249827,0.052784127304991005
1241.2935323383085,236.64113726972303,233.55250827955433,192.18812326674652,233.5525099290303,236.64245650277334,192.18811608773296,192.18812353104732,192.18812833958222,217.9236569744449,0.17283262586056156,0.1275714744208537,0.5875202069895407,0.12757173867449534,0.17313938313315802,0.5873816497203761,0.5871416960278689,0.5870081521176967,0.05265596280202373
1239.751552795031,237.4287069905349,234.34446674628444,192.84028008607697,234.34446854678174,237.4303748022133,192.84027504097708,192.84008229739857,192.8400921815592,218.72918666241816,0.17210615332052331,0.12643587395812095,0.5847647895540492,0.12643613542748366,0.17226958222120553,0.584654829052758,0.5842715874079117,0.5841648767605803,0.05133617653953463
1238.213399503722,238.2246354527657,235.13330071918378,193.49155123822695,235.1333022426134,238.2264576111673,193.49157103105082,193.49100651492287,193.49104174556058,219.5630797220125,0.1713814914700591,0.1252412261204059,0.5822222660866009,0.12524171711008555,0.17137447072612094,0.5821336593524745,0.5817315141233377,0.5816433583219717,0.04998716382658342
1236.6790582403964,239.02853437652988,235.9191484865137,194.141901806732,235.91915043712999,239.03032600369352,194.1419581798574,194.14107776917717,194.1411467968884,220.4135829642351,0.17137446088448385,0.12420517366636671,0.5801053521356455,0.1242058711223518,0.17121706512254783,0.5800247175683104,0.579768244846062,0.579685799240548,0.04978039714820052
1235.1485148514853,239.83599788015712,236.702750413709,194.79147685325265,236.70275330023074,239.83755644629815,194.79156631531134,194.7906369766117,194.79073495086834,221.25434880793878,0.17245934442771543,0.12353394082311715,0.5787124665507879,0.12353453752579896,0.17221032875504236,0.5786251452314937,0.5785973803780267,0.5785078983838854,0.051087435057921814
1233.6217552533994,240.64126786828348,237.48535376461365,195.44075509385917,237.48535724291486,240.64236376120314,195.44086041627256,195.44017702741183,195.44028842723625,222.06518070319632,0.1743169218654748,0.12336520160430675,0.578339960609374,0.12336538824084782,0.17405145314611647,0.5782353235155124,0.578368237833527,0.5782628412343553,0.053215249499420865
1232.098765432099,241.44092620781382,238.26850781324765,196.09054105269234,238.26851149142618,241.44135142034887,196.0906380416824,196.09030583857992,196.09040960684644,222.84590543031692,0.17603112302478974,0.1237271911017459,0.579137747901169,0.1237269179679035,0.17581520264289283,0.5790128805679203,0.5791265907299187,0.5790027140017334,0.05497319239961707
1230.5795314426634,242.23582555406892,239.05377856309744,196.74176020203217,239.05378266329703,242.23547207157898,196.74182692160096,196.7416733890258,196.74174980153393,223.61152825670706,0.17660062881103292,0.12452746728392859,0.5809923912627795,0.12452694568422454,0.17647220880435688,0.5808528011123457,0.5807781586816971,0.5806403761393388,0.05541925089215292
1229.0640394088666,243.03025798589962,239.8424279919431,197.39514141489136,239.84243257221095,243.02917467779898,197.3951660485554,197.39484933500785,197.39488703738664,224.38241064578602,0.17552225306820476,0.12557444784232719,0.5835099617119143,0.12557398843589848,0.17548432490393817,0.5833671958727201,0.5830654880404865,0.582923994293784,0.05429601389093169
1227.5522755227553,243.82927555512578,240.63511456970363,198.0509447212533,240.6351184388899,243.82768376431116,198.0509291113515,198.05016605776203,198.05016606696617,225.17666642149538,0.17310400096474793,0.12662656361020092,0.5861247193957906,0.12662646305326467,0.1731314132035917,0.5859919348833171,0.5855883173165523,0.5854550350091017,0.052159260019708185
1226.0442260442258,244.63543652130966,241.43169667705857,198.70888667227288,241.4316978643424,244.63369827089943,198.70884461057605,198.70760017101796,198.70757442820494,226.00123595005525,0.17034064357720247,0.12745642719532663,0.5882937511007392,0.1274569180844684,0.17039882291834424,0.5881809493681516,0.587888943192187,0.5877729497665075,0.05019074717834599
1224.5398773006134,245.44646287266798,242.23122706456846,199.36831484678854,242.23122456166917,245.44498461665847,199.36826625653708,199.3667816561816,199.36674724969777,226.84208418806148,0.1683720520384854,0.1279093557711048,0.5896772391838365,0.12791049968173715,0.16843883282261668,0.5895879168449445,0.5895769966095458,0.5894816475020888,0.049561924449528665
1223.0392156862747,246.25579389004096,243.03216917734102,200.02852755640362,243.0321638492789,246.25487672177903,200.0284909913647,200.02714469561354,200.02711743622157,227.66868950217827,0.16778555594858868,0.12793371651770763,0.5902002808717663,0.12793528493463605,0.1678619414449176,0.590130650136446,0.5904236207960215,0.5903463542466115,0.05058463126295735
