s22a,s22m,s21a,s21m,s23a,s23m,s24a,s24m,s12a,s12m,s11a,s11m,s13a,s13m,s14a,s14m,s32a,s32m,s31a,s31m,s33a,s33m,s34a,s34m,s42a,s42m,s41a,s41m,s43a,s43m,s44a,s44m,wavelengths,freqs
-9.503597521871782,0.0540423571372469,-21.213932264400782,0.010198035474477622,-13.614431673684164,0.9415685932359694,-8.654393824362854,0.2693755015750836,-21.24137559886076,0.012965056203309207,3.148642794594402,0.027919717731869312,-8.67511198383473,0.2695307669363115,-6.858240002884323,0.9622627776555379,-13.614454196879674,0.941158934119312,-8.65406011944967,0.2127749448381387,-3.0769746724393072,0.0526825398680495,-14.774810048131465,0.011633269392813771,-8.675521755383086,0.34109859524538944,-6.858194603574281,0.9623258041496127,-14.803988115355297,0.014831605393226557,3.1245230064318914,0.02649493497918628,1.563265306122449,0.639686684073107
-10.015451571716909,0.037909880081381145,-21.85300332020326,0.010116453953787498,-14.014543322672036,0.9430272880992273,-8.989405075811057,0.2710862005558731,-21.879091371191244,0.012866386345087733,3.2079520999978364,0.028408771008475765,-9.010952970843995,0.2710941011220639,-7.127598734822816,0.961804318105478,-14.014428001897318,0.9425902938239108,-8.988930981045948,0.21429853858721182,-3.5343851289403267,0.03913135632793368,-15.403310619313688,0.011726363200140227,-9.011395796884969,0.342791008395796,-7.127578189046291,0.9618706567080012,-15.431187153948763,0.014957407318063028,3.221392034725299,0.026778493140115708,1.5653061224489797,0.6388526727509778
-10.791089200413039,0.018118135426857754,-22.496821293027264,0.009931425119128385,-14.414570501069477,0.9441269484322995,-9.324462122104944,0.272669409815538,-22.519619601031987,0.012625124892999674,3.24263494949687,0.02979673578583353,-9.346189839308469,0.27241916265764804,-7.396174409071044,0.9613940013022705,-14.414324838082228,0.9437623150606501,-9.323878568316823,0.2157452947889955,-4.121655282378526,0.020379854000458435,-16.03717623514964,0.011691728455230215,-9.346636609957004,0.34417523525009197,-7.396177610737847,0.9614482619679156,-16.061496603386527,0.014906771926787903,3.2877764179367523,0.028634696722916457,1.5673469387755103,0.6380208333333333
-12.835323344009144,0.015091747020045888,-23.145826815787537,0.009658644620906282,-14.814002224913915,0.9443834852198602,-9.659023173406862,0.27398648979154366,-23.16424883899828,0.012264830945848555,3.242077957513919,0.03149358026066044,-9.68019356080211,0.27351647523623257,-7.664012323501608,0.961045083326293,-14.813706512170832,0.9441666493666176,-9.658431927766367,0.2169974619179117,-6.170263583413702,0.008665889752511376,-16.676805846019555,0.011539829656756187,-9.680608570103402,0.3452706016545503,-7.664028610522845,0.9610747967107836,-16.696122866383547,0.014700363173173128,3.299537368998875,0.03123128924673597,1.569387755102041,0.6371911573472041
-13.743114252179327,0.03544457749249114,-23.79945434847252,0.009321607084845389,-15.212121857989402,0.9437486567990737,-9.992344860947854,0.2750283828235375,-23.813786963276602,0.011817216872465166,3.211590502370874,0.03287139744593415,-10.012527502282989,0.2745017501638809,-7.931155357597223,0.9607424795252812,-15.211895819313803,0.9436871143436862,-9.991878958580743,0.21802995809692727,-7.37472665390391,0.028144845438966344,-17.32149176124961,0.011294042193580102,-10.012877962698122,0.3462295930038643,-7.9311679612009645,0.9607432239502243,-17.335814739421092,0.014370829902816604,3.263279652097646,0.03358413768305057,1.5714285714285714,0.6363636363636364
-14.243568514335852,0.0542114614237238,-24.456620229324,0.008947337182283067,-15.6083715449921,0.9426351455093881,-10.323858330231342,0.2759244412507006,-24.468515415491023,0.011316385026449721,3.163963983485204,0.03349170059314091,-10.343140069233396,0.2755380343872215,-8.197625901799709,0.9604518943492844,-15.608315101819501,0.9426557025982425,-10.323619710782259,0.2189255879843588,-7.869879882870365,0.04797414394059151,-17.969985538123975,0.010987054466326245,-10.343404094997735,0.3472624768386421,-8.197618018219174,0.9604294181918703,-17.98081320040192,0.01395666012574795,3.1975944418487554,0.03496919726133108,1.573469387755102,0.6355382619974059
-14.663292213096263,0.06678757446495262,-25.11630070790526,0.008559377480483523,-16.002637848099322,0.9416899278245487,-10.653459825457494,0.2768752376318836,-25.12819886446973,0.010792455350857877,3.1136411045100076,0.03318494750541567,-10.672371505814027,0.2767570506220605,-8.463418924884081,0.9601377528629506,-16.002773140543848,0.9416704292193078,-10.653463410814773,0.21983252018595073,-8.280251419493855,0.06262297532871353,-18.621133621138465,0.010651346100861015,-10.672542083887231,0.34853700838093915,-8.463379951229198,0.9601062113355008,-18.63083959402547,0.013494558617956509,3.121767018286368,0.035028303707014846,1.5755102040816327,0.6347150259067358
-15.047507471458882,0.07136808131644803,-25.777968751014193,0.008171524280659682,-16.39529211737891,0.9414499524531198,-10.981546217544533,0.27804891604496934,-25.792206586991444,0.010266399407024,3.0746581396080743,0.032054793817619796,-11.000772390762595,0.27819826300250544,-8.728509211785028,0.9597803246135593,-16.395543855567404,0.941285733451849,-10.981705927233985,0.22088962867408934,-8.658952664814555,0.07003382656970712,-19.27428326511535,0.010308734830524312,-11.000857360293137,0.3501019334599271,-8.728438744037408,0.9597573562430826,-19.285176129399233,0.013012459822525507,3.0539887146847287,0.03376203311514187,1.5775510204081633,0.6338939197930142
-15.40461045747962,0.06745464487606426,-26.441769792234123,0.007785563347566708,-16.786977991461878,0.9420803874229664,-11.308791722721201,0.27950121232252706,-26.45978119018517,0.009747651168725462,3.0593747901841852,0.030451379498189806,-11.328828105562005,0.2797953250857188,-8.992868116787822,0.9593831830843516,-16.78721391262499,0.9417468599986254,-11.308965664651343,0.22216115196950023,-9.01595996208576,0.06928368491532633,-19.92935163857946,0.009964700649666222,-11.328847670525132,0.3518708631853416,-8.992776281214512,0.9593836790628255,-19.942883071670092,0.01252523561077073,3.012451792173157,0.031512579455371455,1.579591836734694,0.6330749354005167
-15.726431053789739,0.05573922461783067,-27.108475273913445,0.007394017129542276,-17.178283541494913,0.9433182458122102,-11.635809422278845,0.28115658979962194,-27.13042338950438,0.009235267590649358,3.075056406352417,0.02890468330674541,-11.656732901494369,0.28141480406093694,-9.256480289619816,0.9589678088451612,-17.17839368477664,0.9428856561386282,-11.635879158165652,0.22360999977552898,-9.347693257597182,0.0605247299295332,-20.586676475390856,0.009610042162228166,-11.656715758810853,0.3536718047511261,-9.256384305895246,0.9589986013830608,-20.603139715438434,0.012034425094349384,3.0143568779014074,0.028946192056170186,1.5816326530612246,0.632258064516129
