["E0",""]
["E1",""]
["W0",""]
("E0","mode 1",1,"E0",1,"transmission")
(500, 3)
1.6281313851302606e+14 1.3878177248302132e-01 3.4624933963167656e+01
1.6311353175751503e+14 1.3546724224993464e-01 3.5246242676332933e+01
1.6341392500200400e+14 1.2254509111672210e-01 3.5910663138967756e+01
1.6371431824649300e+14 1.0551481265996605e-01 3.6668347971133727e+01
1.6401471149098197e+14 9.4179235156070087e-02 3.7554319229475453e+01
1.6431510473547094e+14 9.7374758592038077e-02 3.8488341853088421e+01
1.6461549797995991e+14 1.1236452194118747e-01 3.9324462492362990e+01
1.6491589122444891e+14 1.2881328545710918e-01 4.0043722044708375e+01
1.6521628446893788e+14 1.3882295829618793e-01 4.0697318140973110e+01
1.6551667771342684e+14 1.3880717596004571e-01 4.1332991413579414e+01
1.6581707095791584e+14 1.2888555048498110e-01 4.1992307786301637e+01
1.6611746420240481e+14 1.1289811672643774e-01 4.2721994752583178e+01
1.6641785744689378e+14 9.8887520242308347e-02 4.3568222912248018e+01
1.6671825069138275e+14 9.6735157709050584e-02 4.4503803646559305e+01
1.6701864393587175e+14 1.0846250430296743e-01 4.5390395235410530e+01
1.6731903718036072e+14 1.2552457626770896e-01 4.6159503433735082e+01
1.6761943042484969e+14 1.3879378723379035e-01 4.6845797867728940e+01
1.6791982366933869e+14 1.4325068003125505e-01 4.7497027918946642e+01
1.6822021691382766e+14 1.3782878909637603e-01 4.8151989258496883e+01
1.6852061015831662e+14 1.2497683329654855e-01 4.8847631178309349e+01
1.6882100340280562e+14 1.1050069100630064e-01 4.9621305826932741e+01
1.6912139664729459e+14 1.0244184644670093e-01 5.0481684605804212e+01
1.6942178989178356e+14 1.0600222225409076e-01 5.1357789842100530e+01
1.6972218313627256e+14 1.1807029440859261e-01 5.2160385651213716e+01
1.7002257638076153e+14 1.3106392218305415e-01 5.2879648650500627e+01
1.7032296962525050e+14 1.3901253279428288e-01 5.3551197083062888e+01
1.7062336286973947e+14 1.3914236797848270e-01 5.4213118279876447e+01
1.7092375611422847e+14 1.3180777342404909e-01 5.4899786889784338e+01
1.7122414935871744e+14 1.2045786107134734e-01 5.5643790095223480e+01
1.7152454260320641e+14 1.1118043079315353e-01 5.6463995882207151e+01
1.7182493584769538e+14 1.0989713083944561e-01 5.7330546736740295e+01
1.7212532909218438e+14 1.1718903219703417e-01 5.8168983410445215e+01
1.7242572233667334e+14 1.2773442534163593e-01 5.8938506386991826e+01
1.7272611558116231e+14 1.3541073350967914e-01 5.9652424613102951e+01
1.7302650882565131e+14 1.3665707256372023e-01 6.0342314766563106e+01
1.7332690207014028e+14 1.3108168401399137e-01 6.1040186276992273e+01
1.7362729531462925e+14 1.2125504332234462e-01 6.1776016612947906e+01
1.7392768855911825e+14 1.1209317474302533e-01 6.2570151051981235e+01
1.7422808180360722e+14 1.0887134912668839e-01 6.3409405434706123e+01
1.7452847504809619e+14 1.1344498405055856e-01 6.4239419121279226e+01
1.7482886829258519e+14 1.2262902106275962e-01 6.5015985460121428e+01
1.7512926153707416e+14 1.3129660894941905e-01 6.5739773950524196e+01
1.7542965478156312e+14 1.3563361459557888e-01 6.6435677264193231e+01
1.7573004802605209e+14 1.3425407522164812e-01 6.7132210836163836e+01
1.7603044127054109e+14 1.2832143112807765e-01 6.7855460485784704e+01
1.7633083451503006e+14 1.2123804946332153e-01 6.8624058125764776e+01
1.7663122775951903e+14 1.1738808639063891e-01 6.9435513391980763e+01
1.7693162100400800e+14 1.1943948699091442e-01 7.0256194416474330e+01
1.7723201424849700e+14 1.2616770324084098e-01 7.1045599034958315e+01
1.7753240749298597e+14 1.3365853991255394e-01 7.1790614869675053e+01
1.7783280073747494e+14 1.3817132349896058e-01 7.2504433438311139e+01
1.7813319398196394e+14 1.3780520635336818e-01 7.3210076167188220e+01
1.7843358722645291e+14 1.3292184136682950e-01 7.3931430716382238e+01
1.7873398047094188e+14 1.2597976706757191e-01 7.4688252120892457e+01
1.7903437371543088e+14 1.2071400119076009e-01 7.5486502566731232e+01
1.7933476695991984e+14 1.2019525094164747e-01 7.6306721531129426e+01
1.7963516020440881e+14 1.2456749502782018e-01 7.7113049015482616e+01
1.7993555344889781e+14 1.3097493448194050e-01 7.7883433517735369e+01
1.8023594669338678e+14 1.3581493901690742e-01 7.8621199948457004e+01
1.8053633993787575e+14 1.3677146096327941e-01 7.9343827944280065e+01
1.8083673318236472e+14 1.3360469703474737e-01 8.0072020483319690e+01
1.8113712642685372e+14 1.2809138411471163e-01 8.0823638109259107e+01
1.8143751967134269e+14 1.2331256696921912e-01 8.1606384665129752e+01
1.8173791291583166e+14 1.2214154368896457e-01 8.2409072123143972e+01
1.8203830616032062e+14 1.2540021761328388e-01 8.3205097888280861e+01
1.8233869940480962e+14 1.3133236226980785e-01 8.3973413575421787e+01
1.8263909264929859e+14 1.3698972179984018e-01 8.4712360999939534e+01
1.8293948589378756e+14 1.3996905892577513e-01 8.5434606019662269e+01
1.8323987913827656e+14 1.3936144002085715e-01 8.6157600709823029e+01
1.8354027238276553e+14 1.3597016730334530e-01 8.6897475504900555e+01
1.8384066562725450e+14 1.3196469164017122e-01 8.7663744915373542e+01
1.8414105887174350e+14 1.2988701828255619e-01 8.8452974441394176e+01
1.8444145211623247e+14 1.3116664141585924e-01 8.9247611159714339e+01
1.8474184536072144e+14 1.3515834960670953e-01 9.0027425103745358e+01
1.8504223860521044e+14 1.3968059924486911e-01 9.0783780226498862e+01
1.8534263184969941e+14 1.4245800823940755e-01 9.1521986919503306e+01
1.8564302509418838e+14 1.4225696388759396e-01 9.2255026680256123e+01
1.8594341833867738e+14 1.3932215390890737e-01 9.2997224812349501e+01
1.8624381158316634e+14 1.3522212488147545e-01 9.3759111329560668e+01
1.8654420482765531e+14 1.3214715164769686e-01 9.4541967049664251e+01
1.8684459807214428e+14 1.3174605406253229e-01 9.5334826156611044e+01
1.8714499131663325e+14 1.3411103773036884e-01 9.6120330181856971e+01
1.8744538456112225e+14 1.3780193800816587e-01 9.6886854046899160e+01
1.8774577780561122e+14 1.4087640674243940e-01 9.7634644828161981e+01
1.8804617105010019e+14 1.4198564495944815e-01 9.8372848977315869e+01
1.8834656429458919e+14 1.4093162389544128e-01 9.9113787994224225e+01
1.8864695753907816e+14 1.3866866493795474e-01 9.9867956968856546e+01
1.8894735078356712e+14 1.3684509884613269e-01 1.0063947400248239e+02
1.8924774402805612e+14 1.3696336384578020e-01 1.0142309995090666e+02
1.8954813727254509e+14 1.3949349889296173e-01 1.0220670716187743e+02
1.8984853051703406e+14 1.4357732279482577e-01 1.0297940692111700e+02
1.9014892376152306e+14 1.4759059221549470e-01 1.0373809408208059e+02
1.9044931700601203e+14 1.5007112536979078e-01 1.0448746008996163e+02
1.9074971025050100e+14 1.5039837650348814e-01 1.0523615115586441e+02
1.9105010349499000e+14 1.4899522036926538e-01 1.0599260895871282e+02
1.9135049673947897e+14 1.4707015755342931e-01 1.0676143685210151e+02
1.9165088998396794e+14 1.4599177364955271e-01 1.0754080374513902e+02
1.9195128322845691e+14 1.4653705283063914e-01 1.0832291698829192e+02
1.9225167647294588e+14 1.4846255448547832e-01 1.0909869732376227e+02
1.9255206971743488e+14 1.5071940997839250e-01 1.0986339052601352e+02
1.9285246296192384e+14 1.5211878322071276e-01 1.1061863441372738e+02
1.9315285620641281e+14 1.5196872120611982e-01 1.1137068206708778e+02
1.9345324945090181e+14 1.5038114457564156e-01 1.1212713769313289e+02
1.9375364269539078e+14 1.4819698239007567e-01 1.1289363576311283e+02
1.9405403593987975e+14 1.4658383970073219e-01 1.1367106017851897e+02
1.9435442918436875e+14 1.4644599211628642e-01 1.1445465810503904e+02
1.9465482242885772e+14 1.4794250806074161e-01 1.1523658014515986e+02
1.9495521567334669e+14 1.5044008232536035e-01 1.1601066499009805e+02
1.9525560891783569e+14 1.5292678990056813e-01 1.1677569775363376e+02
1.9555600216232466e+14 1.5456990062669917e-01 1.1753519362157931e+02
1.9585639540681362e+14 1.5509213709604719e-01 1.1829496779831088e+02
1.9615678865130262e+14 1.5483927091056562e-01 1.1906026367572353e+02
1.9645718189579159e+14 1.5455714905400211e-01 1.1983335127170125e+02
1.9675757514028056e+14 1.5497610701307482e-01 1.2061237564486123e+02
1.9705796838476953e+14 1.5639431260905046e-01 1.2139235110756179e+02
1.9735836162925850e+14 1.5850339661461846e-01 1.2216807640460662e+02
1.9765875487374750e+14 1.6056969176827549e-01 1.2293700823096461e+02
1.9795914811823647e+14 1.6183661115580272e-01 1.2370022963479434e+02
1.9825954136272544e+14 1.6189832562205456e-01 1.2446146417636319e+02
1.9855993460721444e+14 1.6087439066394318e-01 1.2522516951674922e+02
1.9886032785170341e+14 1.5934150897741139e-01 1.2599455303529474e+02
1.9916072109619238e+14 1.5806412564096994e-01 1.2677007962253334e+02
1.9946111434068138e+14 1.5763447563871455e-01 1.2754916728796512e+02
1.9976150758517034e+14 1.5819483158264133e-01 1.2832755853097228e+02
2.0006190082965931e+14 1.5939769763662565e-01 1.2910173704574606e+02
2.0036229407414831e+14 1.6061763809456348e-01 1.2987078931125797e+02
2.0066268731863728e+14 1.6127345485105513e-01 1.3063664458439803e+02
2.0096308056312625e+14 1.6109023425519270e-01 1.3140292432169008e+02
2.0126347380761525e+14 1.6020296584576929e-01 1.3217321186722498e+02
2.0156386705210422e+14 1.5907844298776075e-01 1.3294941303078420e+02
2.0186426029659319e+14 1.5828777689167187e-01 1.3373076154832225e+02
2.0216465354108216e+14 1.5822521277786175e-01 1.3451402983999199e+02
2.0246504678557112e+14 1.5891882419865205e-01 1.3529508227432621e+02
2.0276544003006012e+14 1.6004188982716949e-01 1.3607096101535245e+02
2.0306583327454909e+14 1.6110457027324826e-01 1.3684121547253358e+02
2.0336622651903806e+14 1.6169860112248965e-01 1.3760783686262329e+02
2.0366661976352706e+14 1.6166976337089875e-01 1.3837412193936589e+02
2.0396701300801603e+14 1.6115893347728744e-01 1.3914315507461103e+02
2.0426740625250500e+14 1.6050943698674161e-01 1.3991649955286164e+02
2.0456779949699400e+14 1.6007986463580826e-01 1.4069357210607339e+02
2.0486819274148297e+14 1.6004620291822957e-01 1.4147202858414678e+02
2.0516858598597194e+14 1.6030098353755207e-01 1.4224904452245428e+02
2.0546897923046094e+14 1.6051273439815478e-01 1.4302278020212472e+02
2.0576937247494991e+14 1.6030978315805966e-01 1.4379318943552337e+02
2.0606976571943888e+14 1.5948057804860596e-01 1.4456183910711758e+02
2.0637015896392788e+14 1.5808805114104432e-01 1.4533099416584315e+02
2.0667055220841684e+14 1.5644927700877428e-01 1.4610246552615757e+02
2.0697094545290581e+14 1.5499073648491735e-01 1.4687672716249818e+02
2.0727133869739478e+14 1.5404270453634214e-01 1.4765273809201531e+02
2.0757173194188375e+14 1.5367460081606354e-01 1.4842863097976999e+02
2.0787212518637275e+14 1.5366389616610984e-01 1.4920289205672981e+02
2.0817251843086172e+14 1.5361888945806032e-01 1.4997527081036128e+02
2.0847291167535069e+14 1.5318626301080543e-01 1.5074686875818500e+02
2.0877330491983969e+14 1.5223266106845651e-01 1.5151943018853268e+02
2.0907369816432866e+14 1.5091087785493001e-01 1.5229425487759315e+02
2.0937409140881762e+14 1.4957949575204829e-01 1.5307126975773616e+02
2.0967448465330662e+14 1.4861564622086448e-01 1.5384878455007609e+02
2.0997487789779559e+14 1.4822085426187354e-01 1.5462422324567660e+02
2.1027527114228456e+14 1.4832961436063685e-01 1.5539552926463077e+02
2.1057566438677356e+14 1.4866627196034571e-01 1.5616238033686781e+02
2.1087605763126253e+14 1.4890329214119599e-01 1.5692645693564123e+02
2.1117645087575150e+14 1.4882649695911665e-01 1.5769068177097125e+02
2.1147684412024050e+14 1.4842617644155898e-01 1.5845788783282538e+02
2.1177723736472947e+14 1.4787436009606475e-01 1.5922950816213279e+02
2.1207763060921844e+14 1.4739901092844065e-01 1.6000484617264536e+02
2.1237802385370741e+14 1.4712249989507964e-01 1.6078134844555001e+02
2.1267841709819641e+14 1.4696689484081954e-01 1.6155585176374117e+02
2.1297881034268538e+14 1.4669646423477520e-01 1.6232613208121182e+02
2.1327920358717434e+14 1.4607430297709456e-01 1.6309187071427345e+02
2.1357959683166331e+14 1.4503265230069021e-01 1.6385462474681162e+02
2.1387999007615231e+14 1.4375490536181609e-01 1.6461699624846216e+02
2.1418038332064128e+14 1.4262398471352225e-01 1.6538145648374524e+02
2.1448077656513025e+14 1.4205958862697488e-01 1.6614931589975549e+02
2.1478116980961925e+14 1.4231908865532741e-01 1.6692032721175639e+02
2.1508156305410822e+14 1.4336087741524126e-01 1.6769318449712654e+02
2.1538195629859719e+14 1.4484733681169198e-01 1.6846660445649169e+02
2.1568234954308619e+14 1.4629334344444470e-01 1.6924021729472346e+02
2.1598274278757516e+14 1.4728495733999364e-01 1.7001468952739242e+02
2.1628313603206412e+14 1.4765704101324217e-01 1.7079110223456041e+02
2.1658352927655312e+14 1.4754371868084959e-01 1.7157002414571835e+02
2.1688392252104209e+14 1.4728038798387025e-01 1.7235081366241835e+02
2.1718431576553106e+14 1.4721271481229375e-01 1.7313159465896521e+02
2.1748470901002003e+14 1.4752135537241945e-01 1.7391004356743554e+02
2.1778510225450903e+14 1.4815990090329012e-01 1.7468459461213502e+02
2.1808549549899800e+14 1.4892589900107395e-01 1.7545531357802324e+02
2.1838588874348697e+14 1.4960221182418942e-01 1.7622391236296960e+02
2.1868628198797594e+14 1.5008020339731340e-01 1.7699295011612665e+02
2.1898667523246494e+14 1.5040507049198054e-01 1.7776467379396627e+02
2.1928706847695391e+14 1.5072914725914205e-01 1.7854004596044643e+02
2.1958746172144288e+14 1.5120198684701719e-01 1.7931841108306946e+02
2.1988785496593188e+14 1.5186125125868660e-01 1.8009797906948927e+02
2.2018824821042084e+14 1.5259508163789426e-01 1.8087686216847840e+02
2.2048864145490981e+14 1.5320421400574127e-01 1.8165405872874027e+02
2.2078903469939881e+14 1.5352397157583500e-01 1.8242985810012624e+02
2.2108942794388778e+14 1.5352759787000642e-01 1.8320555284933258e+02
2.2138982118837675e+14 1.5334961224649932e-01 1.8398270686876097e+02
2.2169021443286575e+14 1.5321892390971900e-01 1.8476237051093759e+02
2.2199060767735472e+14 1.5334030032026688e-01 1.8554462104610951e+02
2.2229100092184369e+14 1.5378777939318519e-01 1.8632865276268251e+02
2.2259139416633269e+14 1.5446653064424967e-01 1.8711332728599069e+02
2.2289178741082162e+14 1.5516214488470492e-01 1.8789779603316151e+02
2.2319218065531062e+14 1.5564734342884212e-01 1.8868179731084928e+02
2.2349257389979962e+14 1.5578631158038300e-01 1.8946551572700602e+02
2.2379296714428856e+14 1.5558369541049255e-01 1.9024918958005603e+02
2.2409336038877756e+14 1.5516098761235939e-01 1.9103275347200795e+02
2.2439375363326653e+14 1.5468457807713537e-01 1.9181572596150824e+02
2.2469414687775550e+14 1.5429248445788307e-01 1.9259739126772337e+02
2.2499454012224450e+14 1.5405767065574591e-01 1.9337715382754050e+02
2.2529493336673347e+14 1.5399446532478928e-01 1.9415484670931630e+02
2.2559532661122244e+14 1.5408684497515826e-01 1.9493081922444017e+02
2.2589571985571144e+14 1.5431215810981547e-01 1.9570578780249804e+02
2.2619611310020041e+14 1.5464791991503724e-01 1.9648058428993113e+02
2.2649650634468938e+14 1.5506633695647831e-01 1.9725596666268041e+02
2.2679689958917838e+14 1.5552951594535017e-01 1.9803256049076305e+02
2.2709729283366734e+14 1.5599560869061746e-01 1.9881086977598383e+02
2.2739768607815631e+14 1.5643526226152846e-01 1.9959124780543755e+02
2.2769807932264531e+14 1.5684518360941987e-01 2.0037378651998645e+02
2.2799847256713425e+14 1.5724189484271245e-01 2.0115819643726664e+02
2.2829886581162325e+14 1.5763174579707240e-01 2.0194380668193625e+02
2.2859925905611225e+14 1.5797680155565258e-01 2.0272976352557492e+02
2.2889965230060119e+14 1.5818928703309479e-01 2.0351537069614383e+02
2.2920004554509019e+14 1.5817268139489790e-01 2.0430038590630875e+02
2.2950043878957916e+14 1.5789266448076686e-01 2.0508506716928147e+02
2.2980083203406812e+14 1.5743330190086674e-01 2.0586988363985304e+02
2.3010122527855712e+14 1.5699472054863861e-01 2.0665501573841240e+02
2.3040161852304609e+14 1.5681847985341202e-01 2.0743996276857385e+02
2.3070201176753506e+14 1.5707084496435192e-01 2.0822360758612228e+02
2.3100240501202406e+14 1.5774855945091873e-01 2.0900483597123647e+02
2.3130279825651303e+14 1.5866986709784184e-01 2.0978337969408116e+02
2.3160319150100200e+14 1.5956813340816878e-01 2.1056032144526503e+02
2.3190358474549100e+14 1.6024440576769311e-01 2.1133789712377845e+02
2.3220397798997997e+14 1.6069672488848566e-01 2.1211863519778223e+02
2.3250437123446894e+14 1.6114564204827478e-01 2.1290417480687142e+02
2.3280476447895794e+14 1.6191905092512529e-01 2.1369429335978464e+02
